KO	Description
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	AKR1C1; 20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
K00218	por; protochlorophyllide reductase [EC:1.3.1.33]
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
K00222	TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]
K00223	ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]
K00224	CEQORH; chloroplastic oxoene reductase [EC:1.3.1.-]
K00225	GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]
K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
K00227	SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K00236	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00243	K00243; uncharacterized protein
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246	frdC; fumarate reductase subunit C
K00247	frdD; fumarate reductase subunit D
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K00251	AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]
K00255	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00257	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]
K00258	SWNR; swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-]
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
K00264	GLT1; glutamate synthase (NADH) [EC:1.4.1.14]
K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00270	pdh; phenylalanine dehydrogenase [EC:1.4.1.20]
K00271	vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00272	DDO; D-aspartate oxidase [EC:1.4.3.1]
K00273	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
K00277	LOX; protein-lysine 6-oxidase [EC:1.4.3.13]
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]
K00279	CKX; cytokinin dehydrogenase [EC:1.5.99.12]
K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00284	GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K00288	MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289	ALDH1L; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00290	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K00293	LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00295	MTD1; methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
K00296	E1.5.1.19; D-nopaline dehydrogenase [EC:1.5.1.19]
K00297	metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K00298	ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K00299	ssuE; FMN reductase [EC:1.5.1.38]
K00300	mtdA; methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]
K00301	E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]
K00302	soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
K00304	soxD; sarcosine oxidase, subunit delta [EC:1.5.3.1]
K00305	soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]
K00306	PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
K00307	BBE1; reticuline oxidase [EC:1.21.3.3]
K00308	PAOX; N1-acetylpolyamine oxidase [EC:1.5.3.13]
K00309	dmg; dimethylglycine oxidase [EC:1.5.3.10]
K00310	SE; pyrimidodiazepine synthase [EC:1.5.4.1]
K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00312	WNT3; wingless-type MMTV integration site family, member 3
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00314	SARDH; sarcosine dehydrogenase [EC:1.5.8.3]
K00315	DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
K00316	spdH; spermidine dehydrogenase [EC:1.5.99.6]
K00317	dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
K00318	PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]
K00319	mtd; methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]
K00320	mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00322	sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]
K00323	NNT; H+-translocating NAD(P) transhydrogenase [EC:1.6.1.2 7.1.1.1]
K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
K00325	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
K00326	E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]
K00327	POR; NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
K00344	qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]
K00345	ndhS; NAD(P)H-quinone oxidoreductase subunit S, chloroplastic [EC:7.1.1.-]
K00346	nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
K00349	nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
K00350	nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
K00351	nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]
K00354	E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
K00355	NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00357	QDPR; dihydropteridine reductase [EC:1.5.1.34]
K00359	qorA; NADPH:quinone reductase [EC:1.6.5.5]
K00360	nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
